indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.TFTE,ARG,2000,47.10825,,
FRESP.TFTE,ARG,2001,47.04942,,
FRESP.TFTE,ARG,2002,48.28049,,
FRESP.TFTE,ARG,2003,48.49271,,
FRESP.TFTE,ARG,2004,48.7598,,
FRESP.TFTE,ARG,2005,48.37454,,
FRESP.TFTE,ARG,2006,48.74715,,
FRESP.TFTE,ARG,2007,49.83067,,
FRESP.TFTE,ARG,2008,49.82781,,
FRESP.TFTE,ARG,2009,52.55709,,
FRESP.TFTE,ARG,2010,53.14567,,
FRESP.TFTE,ARG,2011,53.56486,,
FRESP.TFTE,ARG,2012,53.50344,,
FRESP.TFTE,ARG,2013,51.03635,,
FRESP.TFTE,ARG,2014,52.04718,,
FRESP.TFTE,ARG,2015,51.87812,,
FRESP.TFTE,ARG,2016,52.34194,,
FRESP.TFTE,ARG,2017,52.94261,,
FRESP.TFTE,ARG,2018,52.33492,,
FRESP.TFTE,ARG,2019,52.61997,,
FRESP.TFTE,ARG,2020,52.70929,,
FRESP.TFTE,ARG,2021,53.22606,,
FRESP.TFTE,BOL,2017,45.56208,,
FRESP.TFTE,BOL,2019,43.72415,,
FRESP.TFTE,BOL,2021,45.53937,,
FRESP.TFTE,CHL,2007,27.39832,,
FRESP.TFTE,CHL,2008,26.9229,,
FRESP.TFTE,CHL,2009,31.40564,,
FRESP.TFTE,CHL,2010,30.71691,,
FRESP.TFTE,CHL,2011,30.9491,,
FRESP.TFTE,CHL,2012,31.66368,,
FRESP.TFTE,CHL,2013,34.82483,,
FRESP.TFTE,CHL,2014,31.58792,,
FRESP.TFTE,CHL,2015,32.92966,,
FRESP.TFTE,CHL,2016,33.09176,,
FRESP.TFTE,CHL,2017,34.76074,,
FRESP.TFTE,CHL,2018,34.21421,,
FRESP.TFTE,CHL,2019,35.07323,,
FRESP.TFTE,CHL,2020,34.96896,,
FRESP.TFTE,CHL,2021,33.02928,,
FRESP.TFTE,COL,2013,34.37859,,
FRESP.TFTE,COL,2014,35.65948,,
FRESP.TFTE,COL,2015,35.3725,,
FRESP.TFTE,COL,2016,37.65389,,
FRESP.TFTE,COL,2017,37.65389,,
FRESP.TFTE,CRI,2005,40.81245,,
FRESP.TFTE,CRI,2008,51.33047,,
FRESP.TFTE,CRI,2011,45.03646,,
FRESP.TFTE,CRI,2012,42.821,,
FRESP.TFTE,CRI,2013,46.55582,,
FRESP.TFTE,CRI,2014,42.33309,,
FRESP.TFTE,CRI,2015,39.192,,
FRESP.TFTE,CRI,2016,40.83139,,
FRESP.TFTE,CRI,2017,42.85714,,
FRESP.TFTE,CRI,2018,44.57971,,
FRESP.TFTE,CRI,2020,43.56705,,
FRESP.TFTE,CRI,2021,44.38776,,
FRESP.TFTE,DEU,2001,16.10833,,
FRESP.TFTE,DEU,2003,16.30649,,
FRESP.TFTE,DEU,2005,17.51473,,
FRESP.TFTE,DEU,2007,18.64894,,
FRESP.TFTE,DEU,2009,20.5662,,
FRESP.TFTE,DEU,2011,22.07512,,
FRESP.TFTE,DEU,2013,22.66894,,
FRESP.TFTE,DEU,2015,22.61858,,
FRESP.TFTE,DEU,2017,22.58011,,
FRESP.TFTE,DEU,2019,22.73201,,
FRESP.TFTE,DEU,2021,24.135,,
FRESP.TFTE,ECU,2009,39.81423,,
FRESP.TFTE,ECU,2010,40.4745,,
FRESP.TFTE,ECU,2011,39.30111,,
FRESP.TFTE,ECU,2012,43.64715,,
FRESP.TFTE,ECU,2013,42.50908,,
FRESP.TFTE,ECU,2014,41.2673,,
FRESP.TFTE,ESP,2001,35.22401,,
FRESP.TFTE,ESP,2002,35.72694,,
FRESP.TFTE,ESP,2003,36.73131,,
FRESP.TFTE,ESP,2004,37.20988,,
FRESP.TFTE,ESP,2005,37.70615,,
FRESP.TFTE,ESP,2006,37.50535,,
FRESP.TFTE,ESP,2007,37.88644,,
FRESP.TFTE,ESP,2008,38.16437,,
FRESP.TFTE,ESP,2009,38.50836,,
FRESP.TFTE,ESP,2010,38.4919,,
FRESP.TFTE,ESP,2011,38.57092,,
FRESP.TFTE,ESP,2012,38.46974,,
FRESP.TFTE,ESP,2013,38.75833,,
FRESP.TFTE,ESP,2014,38.56188,,
FRESP.TFTE,ESP,2015,38.9825,,
FRESP.TFTE,ESP,2016,39.12178,,
FRESP.TFTE,ESP,2017,38.77782,,
FRESP.TFTE,ESP,2018,38.79351,,
FRESP.TFTE,ESP,2019,39.85465,,
FRESP.TFTE,ESP,2020,39.90053,,
FRESP.TFTE,ESP,2021,39.74826,,
FRESP.TFTE,ESP,2022,39.56081,,
FRESP.TFTE,GTM,2006,31.95876,,
